국가별,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065
국가별,인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상)
스페인,8.2,8.7,9.6,10.3,11.1,11.8,13.4,15.1,16.7,16.7,17.1,18.6,20,22.1,25,28.2,31.7,35.1,36.8,37,36.5,35.7
스웨덴,11.8,12.7,13.7,15.1,16.3,17.3,17.8,17.5,17.3,17.3,18.2,19.6,20.3,21.2,22.2,23.4,24.1,24.2,24.6,25.5,26.7,26.6
스위스,10.2,10.5,11.3,12.4,13.9,14,14.6,14.7,15.3,15.8,16.9,18,19.1,20.9,23.4,25.8,27,27.7,28.6,29.2,29.5,29.5
영국,11.8,12.2,13,14,14.9,15.1,15.7,15.9,15.9,16,16.6,18,18.7,19.8,21.5,23.1,23.9,24.5,25.3,26.3,27,27.3
오세아니아,,,,,,,,,,,,,,,,,,,,,,
오스트레일리아,8.6,8.6,8.2,8.8,9.6,10.2,11.1,11.9,12.3,12.9,13.4,14.9,16.2,17.8,19.3,20.4,21.4,21.9,22.8,23.7,24.4,24.7
뉴질랜드,8.6,8.1,8.5,8.7,9.8,10.3,11.1,11.6,11.8,12.1,13.1,14.6,16.4,18.4,20.5,22.1,23.2,23.5,23.9,24.7,25.9,26.8
,,,,,,,,,,,,,,,,,,,,,,
전체,8.231578947,8.805263158,9.581578947,10.34473684,11.01315789,10.90789474,11.65526316,12.40789474,13.14210526,13.88947368,14.79210526,16.33157895,17.96052632,19.82631579,21.82105263,23.56578947,25.15526316,26.44210526,27.54473684,28.53684211,29.36315789,29.64473684
아시아,4.1,4.625,5.125,5.85,6.525,6.85,7.625,8.8,10.075,11.35,12.725,14.475,16.375,18.4,20.45,22.6,25.125,27.05,28.75,29.9,31.025,32.15
북아메리카,6.733333333,6.966666667,7.3,7.666666667,8.3,8.8,9.4,9.8,10.03333333,10.33333333,11.1,12.46666667,14.1,15.96666667,17.76666667,18.96666667,19.83333333,20.6,21.46666667,22.46666667,23.76666667,24.83333333
남아메리카,3.233333333,3.3,3.5,3.766666667,4.1,4.433333333,4.9,5.466666667,6.166666667,6.866666667,7.766666667,9,10.53333333,12.66666667,15.1,17.26666667,19.1,21.06666667,23.2,25.53333333,27.9,29.73333333
유럽,9.588461538,10.33076923,11.32692308,12.22692308,12.91538462,12.57307692,13.35769231,14.11538462,14.86153846,15.60769231,16.46538462,18.03076923,19.63461538,21.45,23.42307692,25.15,26.69230769,27.93076923,28.88461538,29.70769231,30.24615385,30.10384615
오세아니아,8.6,8.35,8.35,8.75,9.7,10.25,11.1,11.75,12.05,12.5,13.25,14.75,16.3,18.1,19.9,21.25,22.3,22.7,23.35,24.2,25.15,25.75
